# Phase D SCReLU-512 integer-inference frozen set
# seed=20260725
# champion_sha256=50e9eb4c1a7c6507d3b77562adde859e3eeb1c7d2efe4e838faabfc292e64184
# positions=10000 white_stm=5000 black_stm=5000
# format: category<TAB>FEN
natural_v2	rnbqkbnr/ppp4p/3p2p1/4pp2/1P6/2N2N2/PBPPPPPP/R2QKB1R w KQkq - 0 5
natural_v2	rnbqkbnr/ppp4p/3p2p1/4pp2/1P5P/2N2N2/PBPPPPP1/R2QKB1R b KQkq - 0 5
natural_v2	rnbqk1nr/ppp3bp/3p2p1/4pp2/1P5P/2N2N2/PBPPPPP1/R2QKB1R w KQkq - 1 6
natural_v2	rnbqk1nr/ppp3bp/3p2p1/3Npp2/1P5P/5N2/PBPPPPP1/R2QKB1R b KQkq - 2 6
natural_v2	rnbqk1nr/pp4bp/2pp2p1/3Npp2/1P5P/5N2/PBPPPPP1/R2QKB1R w KQkq - 0 7
natural_v2	rnbqk1nr/pp4bp/2pp2p1/4pp2/1P5P/2N2N2/PBPPPPP1/R2QKB1R b KQkq - 1 7
natural_v2	rnbqk1nr/pp4bp/2pp2p1/5p2/1P2p2P/2N2N2/PBPPPPP1/R2QKB1R w KQkq - 0 8
natural_v2	rnbqk1nr/pp4bp/2pp2p1/5p2/1P2p2P/2N5/PBPPPPP1/R2QKBNR b KQkq - 1 8
natural_v2	rnbqk2r/pp4bp/2pp1np1/5p2/1P2p2P/2N5/PBPPPPP1/R2QKBNR w KQkq - 2 9
natural_v2	rnbqk2r/pp4bp/3p1np1/1N3p2/4p2P/8/PBPPPPP1/R2QKBNR b KQkq - 0 10
natural_v2	rnbqk2r/1p4bp/p2p1np1/1N3p2/4p2P/8/PBPPPPP1/R2QKBNR w KQkq - 0 11
natural_v2	rnbqk2r/1p4bp/p2p1np1/5p2/4p2P/2N5/PBPPPPP1/R2QKBNR b KQkq - 1 11
natural_v2	rn1qk2r/1p4bp/p2pbnp1/5p2/4p2P/2N5/PBPPPPP1/R2QKBNR w KQkq - 2 12
